site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section
Renal Pelvis and Ureter,AJCC7,any,T,Tis,Carcinoma in situ,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00466
Renal Pelvis and Ureter,AJCC7,any,T,T1,Tumor invades subepithelial connective tissue,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00466
Renal Pelvis and Ureter,AJCC7,any,T,T2,Tumor invades the muscularis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00466
Renal Pelvis and Ureter,AJCC7,any,T,T3,(For renal pelvis only) Tumor invades beyond muscularis into peripelvic fat or the renal paren- chyma T3. (For ureter only) Tumor invades beyond muscularis into periureteric fat,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00466
Renal Pelvis and Ureter,AJCC7,any,T,T4,"Tumor invades adjacent organs, or through the kidney into the perinephric fat.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00466
Renal Pelvis and Ureter,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00467
Renal Pelvis and Ureter,AJCC7,any,N,N0,No regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00467
Renal Pelvis and Ureter,AJCC7,any,N,N1,"Metastasis in a single lymph node, 2 cm or less in greatest dimension",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00467
Renal Pelvis and Ureter,AJCC7,any,N,N2,"Metastasis in a single lymph node, more than 2 cm but not more than 5 cm in greatest dimen- sion; or multiple lymph nodes, none more than 5 cm in greatest dimension",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00467
Renal Pelvis and Ureter,AJCC7,any,N,N3,"Metastasis in a lymph node, more than 5 cm in greatest dimension * Note : Laterality does not affect the N classifi cation.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00467
Renal Pelvis and Ureter,AJCC7,any,G,Low grade,HG,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00469
Renal Pelvis and Ureter,AJCC7,any,G,High grade,"If a grading system is not specifi ed, generally the following system is used:",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00469
Renal Pelvis and Ureter,AJCC7,any,G,GX,Grade cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00469
Renal Pelvis and Ureter,AJCC7,any,G,G1,Well differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00469
Renal Pelvis and Ureter,AJCC7,any,G,G2,Moderately differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00469
Renal Pelvis and Ureter,AJCC7,any,G,G3,Poorly differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00469
Renal Pelvis and Ureter,AJCC7,any,G,G4,Undifferentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,509,B00469
Renal Pelvis and Ureter,AJCC7,any,T,T4,NX N0 N1 N2 N3,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00470
Renal Pelvis and Ureter,AJCC7,any,N,N3,M0 M1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00471
Renal Pelvis and Ureter,AJCC7,any,M,M1,GROUP T N M 0a Ta N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M0,0is Tis N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M0,I T1 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M0,II T2 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M0,III T3 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M0,IV T4 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M0,Any T N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M0,Any T N2,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M0,Any T N3,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M0,Any T Any N,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M1,Stage unknown PATHOLOGIC GROUP T N M 0a Ta N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Renal Pelvis and Ureter,AJCC7,any,M,M1,Stage unknown R ENAL P ELVIS AND U RETER S TAGING F ORM,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,511,B00472
Urinary Bladder,AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00477
Urinary Bladder,AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00477
Urinary Bladder,AJCC7,any,T,Ta,Noninvasive papillary carcinoma,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00477
Urinary Bladder,AJCC7,any,T,Tis,Carcinoma in situ: “fl at tumor”,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00477
Urinary Bladder,AJCC7,any,T,T1,Tumor invades subepithelial connective tissue,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00477
Urinary Bladder,AJCC7,any,T,T2,Tumor invades muscularis propria pT2a Tumor invades superfi cial muscularis propria (inner half) pT2b Tumor invades deep muscularis propria (outer half),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00477
Urinary Bladder,AJCC7,any,T,T3,Tumor invades perivesical tissue pT3a Microscopically pT3b Macroscopically (extravesical mass),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00477
Urinary Bladder,AJCC7,any,T,T4,"Tumor invades any of the following: prostatic stroma, seminal vesicles, uterus, vagina, pelvic wall, abdominal wall",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00477
Urinary Bladder,AJCC7,any,T,T4a,"Tumor invades prostatic stroma, uterus, vagina",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00477
Urinary Bladder,AJCC7,any,T,T4b,"Tumor invades pelvic wall, abdominal wall",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00477
Urinary Bladder,AJCC7,any,N,NX,Lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00478
Urinary Bladder,AJCC7,any,N,N0,No lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00478
Urinary Bladder,AJCC7,any,N,N1,"Single regional lymph node metastasis in the true pelvis (hypogastric, obturator, external iliac, or presacral lymph node)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00478
Urinary Bladder,AJCC7,any,N,N2,"Multiple regional lymph node metastasis in the true pelvis (hypogastric, obturator, external iliac, or presacral lymph node metastasis)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00478
Urinary Bladder,AJCC7,any,N,N3,Lymph node metastasis to the common iliac lymph nodes,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,516,B00478
Urinary Bladder,AJCC7,any,T,T2,pT2a pT2b,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00481
Urinary Bladder,AJCC7,any,T,T3,pT3a pT3b,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00481
Urinary Bladder,AJCC7,any,T,T4b,NX N0 N1 N2 N3,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00481
Urinary Bladder,AJCC7,any,N,N3,M0 M1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00482
Urinary Bladder,AJCC7,any,M,M1,GROUP T N M 0a Ta N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M0,0is Tis N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M0,I T1 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M0,II T2a N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M0,T2b N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M0,III T3a N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M0,T3b N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M0,T4a N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M0,IV T4b N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M0,Any T N1-3,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M0,Any T Any N,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M1,Stage unknown PATHOLOGIC GROUP T N M 0a Ta N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urinary Bladder,AJCC7,any,M,M1,Stage unknown U RINARY B LADDER S TAGING F ORM,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,519,B00483
Urethra,AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,Ta,"Noninvasive papillary, polypoid, or verrucous carcinoma",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,Tis,Carcinoma in situ,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,T1,Tumor invades subepithelial connective tissue,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,T2,"Tumor invades any of the following: corpus spon- giosum, prostate, periurethral muscle",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,T3,"Tumor invades any of the following: corpus caver- nosum, beyond prostatic capsule, anterior vagina, bladder neck",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,T4,"Tumor invades other adjacent organs Urothelial (Transitional Cell) Carcinoma of the Prostate Tis pu Carcinoma in situ, involvement of the prostatic urethra Tis pd Carcinoma in situ, involvement of the prostatic ducts",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,T1,Tumor invades urethral subepithelial connective tissue,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,T2,"Tumor invades any of the following: prostatic stroma, corpus spongiosum, periurethral muscle",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,T3,"Tumor invades any of the following: corpus cav- ernosum, beyond prostatic capsule, bladder neck (extraprostatic extension)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,T,T4,Tumor invades other adjacent organs (invasion of the bladder),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00487
Urethra,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00488
Urethra,AJCC7,any,N,N0,No regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00488
Urethra,AJCC7,any,N,N1,Metastasis in a single lymph node 2 cm or less in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00488
Urethra,AJCC7,any,N,N2,"Metastasis in a single node more than 2 cm in greatest dimension, or in multiple nodes FIGURE 46.1. Defi nition of primary tumor (T) for Ta, T1, and T2 with depth of invasion ranging from the epithelium to the uro- genital diaphragm. In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,524,B00488
Urethra,AJCC7,any,G,Low grade,HG,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,525,B00490
Urethra,AJCC7,any,G,High grade,"If a grading system is not specifi ed, generally the following system is used:",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,525,B00490
Urethra,AJCC7,any,G,GX,Grade cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,525,B00490
Urethra,AJCC7,any,G,G1,Well differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,525,B00490
Urethra,AJCC7,any,G,G2,Moderately differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,525,B00490
Urethra,AJCC7,any,G,G3,Poorly differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,525,B00490
Urethra,AJCC7,any,G,G4,Undifferentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,525,B00490
Urethra,AJCC7,any,T,T4,Tis pu Tis pd,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,527,B00491
Urethra,AJCC7,any,T,T4,NX N0 N1 N2,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,527,B00491
Urethra,AJCC7,any,N,N2,M0 M1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,527,B00493
Urethra,AJCC7,any,M,M1,U RETHRA S TAGING F ORM,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,527,B00494
Adrenal,AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00498
Adrenal,AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00498
Adrenal,AJCC7,any,T,T1,"Tumor 5 cm or less in greatest dimension, no extra-adrenal invasion (Figure 47.1)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00498
Adrenal,AJCC7,any,T,T2,"Tumor greater than 5 cm, no extra-adrenal inva- sion (Figure 47.2)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00498
Adrenal,AJCC7,any,T,T3,"Tumor of any size with local invasion, but not invading adjacent organs* (Figure 47.3)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00498
Adrenal,AJCC7,any,T,T4,"Tumor of any size with invasion of adjacent organs* (Figure 47.4) * Note : Adjacent organs include kidney, diaphragm, great ves- sels, pancreas, spleen, and liver.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00498
Adrenal,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00499
Adrenal,AJCC7,any,N,N0,No regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00499
Adrenal,AJCC7,any,N,N1,Metastasis in regional lymph node(s),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00499
Adrenal,AJCC7,any,M,M0,No distance metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00500
Adrenal,AJCC7,any,M,M1,"Distance metastasis FIGURE 47.1. T1: Tumor 5 cm or less in greatest dimension, no extra-adrenal invasion. FIGURE 47.2. T2: Tumor greater than 5 cm, no extra-adrenal invasion. In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,532,B00500
Adrenal,AJCC7,any,T,T1,"Tumor 5 cm or less in greatest dimension, no extra-adrenal invasion",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00502
Adrenal,AJCC7,any,T,T2,"Tumor greater than 5 cm, no extra-adrenal invasion",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00502
Adrenal,AJCC7,any,T,T3,"Tumor of any size with local invasion, but not invading adjacent organs*",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00502
Adrenal,AJCC7,any,T,T4,"Tumor of any size with invasion of adjacent organs* *Adjacent organs include kidney, diaphragm, great vessels, pancreas, spleen, and liver.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00502
Adrenal,AJCC7,any,T,T4,NX N0 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00502
Adrenal,AJCC7,any,N,N1,M0 M1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00503
Adrenal,AJCC7,any,M,M1,GROUP T N M I T1 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Adrenal,AJCC7,any,M,M0,II T2 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Adrenal,AJCC7,any,M,M0,III T1 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Adrenal,AJCC7,any,M,M0,T2 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Adrenal,AJCC7,any,M,M0,T3 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Adrenal,AJCC7,any,M,M0,IV T3 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Adrenal,AJCC7,any,M,M0,T4 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Adrenal,AJCC7,any,M,M0,T4 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Adrenal,AJCC7,any,M,M0,Any T Any N,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Adrenal,AJCC7,any,M,M1,PATHOLOGIC GROUP T N M I T1 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Adrenal,AJCC7,any,M,M1,Stage unknown Stage unknown,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,535,B00504
Carcinoma of the Eyelid,AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,540,B00508
Carcinoma of the Eyelid,AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,540,B00508
Carcinoma of the Eyelid,AJCC7,any,T,Tis,Carcinoma in situ,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,540,B00508
Carcinoma of the Eyelid,AJCC7,any,T,T1,Tumor 5 mm or less in greatest dimension Not invading the tarsal plate or eyelid margin,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,540,B00508
Carcinoma of the Eyelid,AJCC7,any,T,T2a,"Tumor more than 5 mm, but not more than 10 mm in greatest dimension Or, any tumor that invades the tarsal plate or eye- lid margin",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,540,B00508
Carcinoma of the Eyelid,AJCC7,any,T,T2b,"Tumor more than 10 mm, but not more than 20 mm in greatest dimension Or, involves full thickness eyelid",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,540,B00508
Carcinoma of the Eyelid,AJCC7,any,T,T3a,"Tumor more than 20 mm in greatest dimension Or, any tumor that invades adjacent ocular or orbital structures Any T with perineural tumor invasion",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,540,B00508
Carcinoma of the Eyelid,AJCC7,any,T,T3b,"Complete tumor resection requires enucleation, exenteration, or bone resection",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,540,B00508
Carcinoma of the Eyelid,AJCC7,any,T,T4,"Tumor is not resectable due to extensive invasion of ocular, orbital, craniofacial structures, or brain In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,540,B00508
Carcinoma of the Eyelid,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,541,B00509
Carcinoma of the Eyelid,AJCC7,any,N,cN0,"No regional lymph node metastasis, based upon clinical evaluation or imaging",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,541,B00509
Carcinoma of the Eyelid,AJCC7,any,N,pN0,"No regional lymph node metastasis, based upon lymph node biopsy",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,541,B00509
Carcinoma of the Eyelid,AJCC7,any,N,N1,Regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,541,B00509
Carcinoma of the Eyelid,AJCC7,any,G,GX,Grade cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,541,B00511
Carcinoma of the Eyelid,AJCC7,any,G,G1,Well differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,541,B00511
Carcinoma of the Eyelid,AJCC7,any,G,G2,Moderately differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,541,B00511
Carcinoma of the Eyelid,AJCC7,any,G,G3,Poorly differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,541,B00511
Carcinoma of the Eyelid,AJCC7,any,G,G4,Undifferentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,541,B00511
Carcinoma of the Eyelid,AJCC7,any,T,T4,NX N0 N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00512
Carcinoma of the Eyelid,AJCC7,any,N,N1,M0 M1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00513
Carcinoma of the Eyelid,AJCC7,any,M,M1,GROUP T N M 0 Tis N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Eyelid,AJCC7,any,M,M0,I A T1 N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Eyelid,AJCC7,any,M,M0,I B T2a N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Eyelid,AJCC7,any,M,M0,I C T2b N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Eyelid,AJCC7,any,M,M0,II T3a N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Eyelid,AJCC7,any,M,M0,III A T3b N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Eyelid,AJCC7,any,M,M0,III B Any T N1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Eyelid,AJCC7,any,M,M0,III C T4 Any N,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Eyelid,AJCC7,any,M,M0,IV Any T Any N,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Eyelid,AJCC7,any,M,M1,PATHOLOGIC GROUP T N M 0 Tis N0,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Eyelid,AJCC7,any,M,M1,Stage unknown Stage unknown C ARCINOMA OF THE E YELID S TAGING F ORM,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,543,B00514
Carcinoma of the Conjunctiva,AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,548,B00518
Carcinoma of the Conjunctiva,AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,548,B00518
Carcinoma of the Conjunctiva,AJCC7,any,T,Tis,Carcinoma in situ,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,548,B00518
Carcinoma of the Conjunctiva,AJCC7,any,T,T1,Tumor 5 mm or less in greatest dimension*,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,548,B00518
Carcinoma of the Conjunctiva,AJCC7,any,T,T2,"Tumor more than 5 mm in greatest dimension, without invasion of adjacent structures**",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,548,B00518
Carcinoma of the Conjunctiva,AJCC7,any,T,T3,Tumor invades adjacent structures** (excluding the orbit),extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,548,B00518
Carcinoma of the Conjunctiva,AJCC7,any,T,T4,Tumor invades the orbit with or without further extension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,548,B00518
Carcinoma of the Conjunctiva,AJCC7,any,T,T4a,"Tumor invades orbital soft tissues, without bone invasion",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,548,B00518
