term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Electrocardiogram QT corrected interval prolonged,Investigations,CTCAE v6.0,,Average QTc 450 - 480 ms,Average QTc 481 - 500 ms,Average QTc >500 ms; >60 ms change from baseline,Life-threatening consequences; Torsade de pointes; polymorphic ventricular tachycardia,-,A finding of a cardiac dysrhythmia characterized by an abnormally long corrected QT interval.,"Consider Cardiac disorders: Ventricular arrhythmia, Ventricular fibrillation, Ventricular tachycardia.",166
Fibrinogen decreased,Investigations,CTCAE v6.0,,"<1.0 - 0.75 × LLN; if abnormal, <25% decrease from baseline","<0.75 - 0.5 × LLN; if abnormal, 25 - <50% decrease from baseline","<0.5 - 0.25 × LLN; if abnormal, 50 - <75% decrease from baseline","<0.25 × LLN; if abnormal, 75% decrease from baseline; absolute value <50 mg/dL",-,A finding based on laboratory test results that indicate an decrease in levels of fibrinogen in a blood specimen.,-,167
Forced expiratory volume decreased,Investigations,CTCAE v6.0,,FEV1% (percentages of observed FEV1 and FVC related to their respective predicted values) 99 - 70% predicted; Global Lung Function Initiative (GLI) Z- score -1.65 to -2.5,FEV1% 60 - 69%; GLI Z-score <-2.5 to -4,FEV1% 50 - 59%; GLI Z-score <-4,-,-,A finding based on test results that indicate a relative decrease in the fraction of the forced vital capacity that is exhaled in a specific number of seconds.,"Consider Respiratory, thoracic and mediastinal disorders: Dyspnea, Respiratory failure.",167
GGT increased,Investigations,CTCAE v6.0,,>ULN - 2.5 × ULN if baseline was normal or less than normal; 1.0 - 1.5 × baseline if baseline was >ULN,>2.5 - 5.0 × ULN if baseline was normal or less than normal; >1.5 - 3.0 × baseline if baseline was >ULN,>5.0 - 20.0 × ULN if baseline was normal or less than normal; >3.0 - 10.0 × baseline if baseline was >ULN,>20.0 × ULN if baseline was normal or less than normal; >10.0 × baseline if baseline was >ULN,-,"A finding based on laboratory test results that indicate higher than normal levels of the enzyme gamma-glutamyltransferase in the blood specimen. GGT (gamma-glutamyltransferase) catalyzes the transfer of a gamma glutamyl group from a gamma glutamyl peptide to another peptide, amino acids or water.",-,167
Growth hormone abnormal,Investigations,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),-,-,-,A finding based on laboratory test results that indicate abnormal levels of growth hormone (GH) in a biological specimen.,-,168
Haptoglobin decreased,Investigations,CTCAE v6.0,,<LLN,-,-,-,-,A finding based on laboratory test results that indicate an decrease in levels of haptoglobin (HP) in a blood specimen.,-,168
HDL decreased,Investigations,CTCAE v6.0,,<LLN,-,-,-,-,A finding based on laboratory test results that indicate a decrease in HDL in a blood specimen.,-,168
Hemoglobin increased,Investigations,CTCAE v6.0,,Increase in >0 - 2 g/dL above ULN,Increase in >2 - 4 g/dL above ULN,Increase in >4 g/dL above ULN,-,-,A finding based on laboratory test results that indicate increased levels of hemoglobin (Hgb) above normal.,-,168
INR increased,Investigations,CTCAE v6.0,,>1.2 - 1.5; >1 - 1.5 × baseline if on anticoagulation; monitoring only indicated,>1.5 - 2.5; >1.5 - 2.5 × baseline if on anticoagulation; dose adjustment indicated,>2.5; >2.5 × baseline if on anticoagulation; bleeding,-,-,A finding based on laboratory test results that indicate an increase in the ratio of the patient's prothrombin time (PT) to a control sample in the blood.,-,169
"Investigations - Other, specify",Investigations,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,169
LDL increased,Investigations,CTCAE v6.0,,>ULN,-,-,-,-,A finding based on laboratory test results that indicate an increase in LDL in a blood specimen.,-,169
Lipase increased,Investigations,CTCAE v6.0,,>ULN - 1.5 × ULN,>1.5 - 3.0 × ULN; >3.0 - 5.0 × ULN and asymptomatic,>3.0 - 5.0 × ULN with signs or symptoms; >5.0 × ULN and asymptomatic,>5.0 × ULN and with signs or symptoms,-,A finding based on laboratory test results that indicate an increase in the level of lipase in a biological specimen.,Consider Gastrointestinal disorders: Pancreatitis.,170
Lymphocyte count increased,Investigations,CTCAE v6.0,,-,">4000/mm3 - 20,000/mm3",">20,000/mm3",-,-,"A finding based on laboratory test results that indicate an abnormal increase in the number of lymphocytes in the blood, effusions or bone marrow.",-,170
Neutrophil count decreased,Investigations,CTCAE v6.0,,<1500 - 1000/mm3; <1.5 - 1.0 × 10^9/L,<1000 - 500/mm3; <1.0 - 0.5 × 10^9/L,<500 - 100/mm3; <0.5 - 0.1 × 10^9/L,<100/mm3; <0.1 × 10^9/L,-,A finding based on laboratory test results that indicate a decrease in number of neutrophils (ANC) in a blood specimen.,-,170
Neutrophil count increased,Investigations,CTCAE v6.0,,Present,-,-,-,-,A finding based on laboratory test results that indicate an increase in number of neutrophils (ANC) in a blood specimen.,-,170
Serum amylase increased,Investigations,CTCAE v6.0,,>ULN - 1.5 × ULN,>1.5 - 2.0 × ULN; >2.0 - 5.0 × ULN and asymptomatic or with mild signs or symptoms,>2.0 - 5.0 × ULN with moderate or severe signs or symptoms; >5.0 × ULN and asymptomatic,>5.0 × ULN and with signs or symptoms,-,A finding based on laboratory test results that indicate an increase in the levels of amylase in a serum specimen.,Consider Gastrointestinal disorders: Pancreatitis.,171
Thyroid stimulating hormone increased,Investigations,CTCAE v6.0,,TSH increased and no intervention indicated,-,-,-,-,A disorder characterized by an increase in thyroid stimulating hormone (TSH).,"If intervention initiated or symptomatic, report as Endocrine disorders: Hypothyroidism.",171
Urinary protein increased,Investigations,CTCAE v6.0,,Adult: 1+ proteinuria; urinary protein ≥ULN - <1.0 g/24 hrs; P/C <1; Pediatric: 1 + proteinuria,Adult: 2+ and 3+ proteinuria; urinary protein 1.0 - <3.5 g/24 hrs; P/C 1 - 3.5; Pediatric: Urine P/C (Protein/Creatinine) ratio 0.5 - 1.9; 2 - 3+ proteinuria,"Adult: Urinary protein ≥3.5 g/24 hrs; 4+ proteinuria; P/C >3.5; Pediatric: Urine P/C (Protein/Creatinine) ratio >1.9, 4+ proteinuria",-,-,"A finding based on laboratory test results that indicate the presence of excessive protein in the urine. It is predominantly albumin, but also globulin.",24-hour urine collection takes precedence over dipstick.,171
Urine output decreased,Investigations,CTCAE v6.0,,-,-,Adult: Oliguria (<80 ml in 8 hr); Infants: <1 ml/kg/hour; Children: <0.5 ml/kg/hour,Adult: Anuria (<240 ml in 24 hr); Pediatric: No urine output over 12 hours,-,A finding based on test results that indicate urine production is less relative to previous output.,-,172
Vital capacity abnormal,Investigations,CTCAE v6.0,,90 - 75% of predicted value,<75 - 50% of predicted value; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),<50% of predicted value; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A finding based on pulmonary function test results that indicate an abnormal vital capacity (VC) (amount of exhaled after a maximum inhalation) when compared to the predicted value.,"Consider Investigations: Forced expiratory volume decreased; Respiratory, thoracic and mediastinal disorders: Dyspnea, Respiratory failure.",172
Vitamin D decreased,Investigations,CTCAE v6.0,,Vitamin D decreased <LLN,-,-,-,-,A finding based on laboratory test results that indicate a low concentration of Vitamin D in the blood.,-,172
Weight gain,Investigations,CTCAE v6.0,,5 - <10% from baseline,10 - <20% from baseline,≥20% from baseline,-,-,"A finding characterized by an unexpected or abnormal increase in overall body weight; for pediatrics, percentages represent the absolute increase above that expected from the baseline growth curve (not change in growth percentiles).",-,172
Weight loss,Investigations,CTCAE v6.0,,5 - <10% from baseline; intervention not indicated,10 - <20% from baseline; nutritional support indicated,≥20% from baseline; tube feeding or TPN indicated,-,-,"A finding characterized by a decrease in overall body weight; for pediatrics, less than the baseline growth curve.",-,173
White blood cell decreased,Investigations,CTCAE v6.0,,<LLN - 3000/mm3; <LLN - 3.0 × 10^9/L,<3000 - 2000/mm3; <3.0 - 2.0 × 10^9/L,<2000 - 1000/mm3; <2.0 - 1.0 × 10^9/L,<1000/mm3; <1.0 × 10^9/L,-,A finding based on laboratory test results that indicate a decrease in number of white blood cells (WBC) in a blood specimen.,-,173
Acidosis,Metabolism and nutrition disorders,CTCAE v6.0,,"pH <normal, but ≥7.3",-,pH <7.3,Life-threatening consequences,Death,A disorder characterized by abnormally high acidity (high hydrogen-ion concentration) of the blood and other body tissues.,-,174
Alcohol intolerance,Metabolism and nutrition disorders,CTCAE v6.0,,-,Present,Severe symptoms; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by an increase in sensitivity to the adverse effects of alcohol, which can include nasal congestion, skin flushes, heart dysrhythmias, nausea, vomiting, indigestion and headaches.",-,174
Alkalosis,Metabolism and nutrition disorders,CTCAE v6.0,,"pH >normal, but ≤7.5",-,pH >7.5,Life-threatening consequences,Death,A disorder characterized by abnormally high alkalinity (low hydrogen-ion concentration) of the blood and other body tissues.,-,174
Anorexia,Metabolism and nutrition disorders,CTCAE v6.0,,Loss of appetite without alteration in eating habits,Oral intake altered without significant weight loss or malnutrition; oral nutritional supplements indicated,"Associated with significant weight loss or malnutrition (e.g., inadequate oral caloric and/or fluid intake); tube feeding or TPN indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a loss of appetite.,-,175
Dehydration,Metabolism and nutrition disorders,CTCAE v6.0,,Increased oral fluids indicated; dry mucous membranes; diminished skin turgor,IV fluids indicated,Hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by excessive loss of water from the body. It is usually caused by severe diarrhea, vomiting or diaphoresis.",-,175
Diabetes mellitus,Metabolism and nutrition disorders,CTCAE v6.0,,Abnormal glucose above baseline; diet changes only; no change in baseline diabetic management,Oral antiglycemic agent initiated; insulin sliding scale initiated,Insulin therapy initiated or increased; hospitalization indicated,Life-threatening consequences; urgent intervention indicated; diabetic ketoacidosis,Death,A disorder characterized by increased Hgb A1C that may result in organ damage.,Consider Metabolism and nutrition disorders: Hyperglycemia.,175
Failure to thrive,Metabolism and nutrition disorders,CTCAE v6.0,,-,Limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,"A condition characterized by global decline with weight loss, decreased appetite, poor intake, and/or inactivity.",-,176
Hypercalcemia,Metabolism and nutrition disorders,CTCAE v6.0,,Corrected serum calcium of >ULN - 11.5 mg/dL; >ULN - 2.9 mmol/L; Ionized calcium >ULN - 1.5 mmol/L,Corrected serum calcium of >11.5 - 12.5 mg/dL; >2.9 - 3.1 mmol/L; Ionized calcium >1.5 - 1.6 mmol/L; symptomatic,Corrected serum calcium of >12.5 - 13.5 mg/dL; >3.1 - 3.4 mmol/L; Ionized calcium >1.6 - 1.8 mmol/L; hospitalization indicated,Corrected serum calcium of >13.5 mg/dL; >3.4 mmol/L; Ionized calcium >1.8 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of calcium (corrected for albumin) in blood.,-,176
Hyperglycemia,Metabolism and nutrition disorders,CTCAE v6.0,,Fasting glucose value >ULN - 160 mg/dL; Fasting glucose value >ULN - 8.9 mmol/L,Fasting glucose value >160 - 250 mg/dL; Fasting glucose value >8.9 - 13.9 mmol/L,>250 - 500 mg/dL; >13.9 - 27.8 mmol/L; hospitalization indicated,>500 mg/dL; >27.8 mmol/L; life-threatening consequences,-,"A condition characterized by laboratory test results that indicate a confirmed, short lasting and unexpected elevation in the concentration of blood sugar (glycemia).",Consider Metabolism and nutrition disorders: Diabetes mellitus.,176
Hyperkalemia,Metabolism and nutrition disorders,CTCAE v6.0,,>ULN - 5.5 mmol/L,>5.5 - 6.0 mmol/L; intervention initiated,>6.0 - 7.0 mmol/L; hospitalization indicated,>7.0 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of potassium in the blood; associated with kidney failure or sometimes with the use of diuretic drugs.,-,177
Hyperlipidemia,Metabolism and nutrition disorders,CTCAE v6.0,,Requiring diet changes,Requiring pharmaceutical intervention,Hospitalization,Life-threatening consequences,-,A disorder characterized by laboratory test results that indicate an elevation in the concentration of lipids in blood.,Consider Gastrointestinal disorders: Pancreatitis.,177
Hypermagnesemia,Metabolism and nutrition disorders,CTCAE v6.0,,>ULN - 3.0 mg/dL; >ULN - 1.23 mmol/L,-,>3.0 - 8.0 mg/dL; >1.23 - 3.30 mmol/L,>8.0 mg/dL; >3.30 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of magnesium in the blood.,-,177
Hypernatremia,Metabolism and nutrition disorders,CTCAE v6.0,,>ULN - 150 mmol/L,>150 - 155 mmol/L; intervention initiated,>155 - 160 mmol/L; hospitalization indicated,>160 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of sodium in the blood.,-,177
Hyperphosphatemia,Metabolism and nutrition disorders,CTCAE v6.0,,Laboratory finding only and intervention not indicated,Noninvasive intervention indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated,"Life-threatening consequences; urgent intervention indicated (e.g., dialysis)",Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of phosphate in a blood.,-,178
Hypertriglyceridemia,Metabolism and nutrition disorders,CTCAE v6.0,,150 mg/dL - 300 mg/dL; 1.71 mmol/L - 3.42 mmol/L,>300 mg/dL - 500 mg/dL; >3.42 mmol/L - 5.7 mmol/L,>500 mg/dL - 1000 mg/dL; >5.7 mmol/L - 11.4 mmol/L,>1000 mg/dL; >11.4 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of triglyceride concentration in the blood.,-,178
Hyperuricemia,Metabolism and nutrition disorders,CTCAE v6.0,,>ULN without physiologic consequences,-,>ULN with physiologic consequences,Life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of uric acid.,-,178
Hypoalbuminemia,Metabolism and nutrition disorders,CTCAE v6.0,,<LLN - 3 g/dL; <LLN - 30 g/L,<3 - 2 g/dL; <30 - 20 g/L,<2 g/dL; <20 g/L,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate a low concentration of albumin in the blood.,-,179
Hypocalcemia,Metabolism and nutrition disorders,CTCAE v6.0,,Corrected serum calcium of <LLN - 8.0 mg/dL; <LLN - 2.0 mmol/L; Ionized calcium <LLN - 1.0 mmol/L,Corrected serum calcium of <8.0 - 7.0 mg/dL; <2.0 - 1.75 mmol/L; Ionized calcium <1.0 - 0.9 mmol/L; symptomatic,Corrected serum calcium of <7.0 - 6.0 mg/dL; <1.75 - 1.5 mmol/L; Ionized calcium <0.9 - 0.8 mmol/L; hospitalization indicated,Corrected serum calcium of <6.0 mg/dL; <1.5 mmol/L; Ionized calcium <0.8 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate a low concentration of calcium (corrected for albumin) in the blood.,-,179
Hypoglycemia,Metabolism and nutrition disorders,CTCAE v6.0,,<LLN - 55 mg/dL; <LLN - 3.0 mmol/L,<55 - 40 mg/dL; <3.0 - 2.2 mmol/L,<40 - 30 mg/dL; <2.2 - 1.7 mmol/L,<30 mg/dL; <1.7 mmol/L; life-threatening consequences; seizures,Death,A condition characterized by laboratory test results that indicate a low concentration of glucose in the blood.,-,179
Hypokalemia,Metabolism and nutrition disorders,CTCAE v6.0,,<LLN - 3.0 mmol/L,Symptomatic with <LLN - 3.0 mmol/L; intervention indicated,<3.0 - 2.5 mmol/L; hospitalization indicated,<2.5 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate a low concentration of potassium in the blood.,-,180
Hypomagnesemia,Metabolism and nutrition disorders,CTCAE v6.0,,<LLN - 1.2 mg/dL; <LLN - 0.5 mmol/L,<1.2 - 0.9 mg/dL; <0.5 - 0.4 mmol/L,<0.9 - 0.7 mg/dL; <0.4 - 0.3 mmol/L,<0.7 mg/dL; <0.3 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate a low concentration of magnesium in the blood.,-,180
Hyponatremia,Metabolism and nutrition disorders,CTCAE v6.0,,<LLN - 130 mmol/L,125 - <130 mmol/L and asymptomatic,125 - <130 mmol/L symptomatic; 120 - <125 mmol/L regardless of symptoms,<120 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate a low concentration of sodium in the blood.,-,180
Hypophosphatemia,Metabolism and nutrition disorders,CTCAE v6.0,,Laboratory finding only and intervention not indicated,Oral replacement therapy indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated,Life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate a low concentration of phosphates in the blood.,-,181
Iron overload,Metabolism and nutrition disorders,CTCAE v6.0,,-,Moderate symptoms; intervention not indicated,Severe symptoms; intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by accumulation of iron in the tissues.,-,181
"Metabolism and nutrition disorders - Other, specify",Metabolism and nutrition disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,181
Tumor lysis syndrome,Metabolism and nutrition disorders,CTCAE v6.0,,Laboratory tumor lysis syndrome (LTLS) AND creatinine >ULN - 1.5 × ULN,LTLS AND creatinine >1.5 – 3.0 × ULN; cardiac arrhythmia managed medically; one brief generalized seizure; seizure(s) well controlled by anticonvulsants; infrequent focal motor seizures not limiting age-appropriate instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),LTLS AND creatinine >3.0 – 6.0 × ULN; cardiac arrhythmia controlled with device (e.g. defibrillator); seizure in which consciousness is altered; poorly controlled seizure disorder; breakthrough generalized seizures despite medical intervention,LTLS AND creatinine >6.0 × ULN; life-threatening cardiac arrhythmia or seizure,Death,"A disorder characterized by metabolic abnormalities that result from a spontaneous or therapy-related cytolysis of tumor cells. Clinical tumor lysis syndrome (CTLS) requires one or more clinical manifestations along with criteria for laboratory tumor lysis syndrome (LTLS). LTLS is defined by two or more of the following laboratory abnormalities within 3 days before or 7 days after the initiation of chemotherapy: Uric acid ≥ 476 mcmol/L or 25% increase from baseline, Potassium ≥ 6.0 mmol/L or 25% increase from baseline, Phosphorous ≥ 2.1 mmol/L (children), ≥1.45 mmol/L (adults) or 25% increase from baseline, Calcium ≤ 1.75 mmol/L or 25% decrease from baseline.",-,182
Abdominal soft tissue necrosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,-,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the abdominal wall.,-,183
Arthralgia,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in a joint.,"Report Inflammatory arthritis as Musculoskeletal and connective tissue disorder - Other, specify (Inflammatory arthritis).",183
Arthritis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,"Mild pain with inflammation, erythema, or joint swelling","Moderate pain associated with signs of inflammation, erythema, or joint swelling; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)","Severe pain associated with signs of inflammation, erythema, or joint swelling; irreversible joint damage; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",-,-,A disorder characterized by inflammation involving a joint.,"Report Inflammatory arthritis as Musculoskeletal and connective tissue disorder - Other, specify (Inflammatory arthritis).",184
Back pain,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the back region.,"Consider Injury, poisoning and procedural complications: Infusion related reaction; Record final diagnosis/cause once determined.",184
Bone pain,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the bones.,Record final diagnosis/cause once determined.,185
Buttock pain,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the buttocks.,Record final diagnosis/cause once determined.,185
Chest wall necrosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,-,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the chest wall including breast.,-,185
Chest wall pain,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the chest wall.,"Report Inflammatory costochondritis as Musculoskeletal and connective tissue disorder - Other, specify (Inflammatory costochondritis). Record final diagnosis/cause once determined.",186
Exostosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe symptoms; elective operative intervention indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by non-neoplastic overgrowth of bone.,-,186
Fibrosis deep connective tissue,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,"Mild induration, able to move skin parallel to plane (sliding) and perpendicular to skin (pinching up)","Moderate induration, able to slide skin, unable to pinch skin; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)","Severe induration; unable to slide or pinch skin; limiting joint or orifice movement (e.g., mouth, anus); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Generalized; associated with signs or symptoms of impaired breathing or feeding,Death,A disorder characterized by fibrotic degeneration of the deep connective tissues.,-,187
Flank pain,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort on the lateral side of the body in the region below the ribs and above the hip.,Record final diagnosis/cause once determined.,187
Generalized muscle weakness,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Symptomatic; perceived by patient but not evident on physical exam,Symptomatic; evident on physical exam; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a reduction in the strength of muscles in multiple anatomic sites.,Record final diagnosis/cause once determined.,188
Growth accelerated,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,-,≥+2 SD (standard deviation) above mid parental height or target height,-,-,-,A disorder characterized by greater growth than expected for age.,-,188
Growth suppression,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Reduction in growth velocity by 10 - 29% ideally measured over the period of a year,Reduction in growth velocity by 30 - 49% ideally measured over the period of a year or 0 - 49% reduction in growth from the baseline growth curve,Reduction in growth velocity of ≥50% ideally measured over the period of a year,-,-,A disorder characterized by stature that is smaller than normal as expected for age.,-,188
Head soft tissue necrosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,-,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the head.,"Consider Respiratory, thoracic and mediastinal disorders: Sinus disorder, Grade 4.",189
Joint effusion,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe symptoms; invasive intervention indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,"A disorder characterized by excessive fluid in a joint, usually as a result of joint inflammation.",-,189
Joint range of motion decreased,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,≤25% loss of ROM (range of motion); decreased ROM limiting athletic activity,>25 - 50% decrease in ROM; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),>50% decrease in ROM; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a decrease in joint flexibility of any joint.,"Report Inflammatory arthritis as Musculoskeletal and connective tissue disorder - Other, specify (Inflammatory arthritis).",189
Joint range of motion decreased cervical spine,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild restriction of rotation or flexion between 60 - 70 degrees,Rotation <60 degrees to right or left; <60 degrees of flexion,Ankylosed/fused over multiple segments with no C- spine rotation,-,-,A disorder characterized by a decrease in flexibility of a cervical spine joint.,"Report Inflammatory arthritis as Musculoskeletal and connective tissue disorder - Other, specify (Inflammatory arthritis).",190
Joint range of motion decreased lumbar spine,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Stiffness; difficulty bending to the floor to pick up a very light object but able to do athletic activity,Pain with range of motion (ROM) in lumbar spine; requires a reaching aid to pick up a very light object from the floor,"<50% lumbar spine flexion; associated with symptoms of ankylosis or fused over multiple segments with no L- spine flexion (e.g., unable to reach to floor to pick up a very light object)",-,-,A disorder characterized by a decrease in flexibility of a lumbar spine joint.,"Report Inflammatory arthritis as Musculoskeletal and connective tissue disorder - Other, specify (Inflammatory arthritis).",190
Kyphosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate accentuation; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe accentuation; operative intervention indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by an abnormal increase in the curvature of the thoracic portion of the spine.,-,190
Lordosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate accentuation; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe accentuation; operative intervention indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by an abnormal increase in the curvature of the lumbar portion of the spine.,-,191
