site,edition,classification,category_type,category,short_definition,detail_note,verification_status
NET - duodenum / ampulla,AJCC8,any,T,Tis,In situ / dysplasia category when available（原位/異生分類，若適用）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,N,N1,"Regional lymph node metastasis, or applicable mesenteric nodal mass definition by edition（區域淋巴結轉移；依版本可含腸繫膜淋巴結團塊定義）",,checked_v0_7
NET - jejunum / ileum,AJCC7,any,N,N2,Large mesenteric mass and/or extensive nodal deposits by AJCC8 NET criteria（AJCC8 NET 定義之大型腸繫膜團塊及/或廣泛節點沉積）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,T,T1,Tumor invades lamina propria or submucosa and is ≤1 cm（侵犯固有層或黏膜下層且 ≤1 cm）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,T,T2,Tumor invades muscularis propria or >1 cm（侵犯固有肌層或 >1 cm）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,T,T3,Tumor invades subserosa without serosal penetration（侵犯漿膜下層，未穿透漿膜）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,T,T4,Tumor invades visceral peritoneum/serosa or adjacent organs/structures（侵犯臟層腹膜/漿膜或鄰近構造）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - jejunum / ileum,AJCC7,any,T,Tis,In situ / dysplasia category when available（原位/異生分類，若適用）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,N,N1,"Regional lymph node metastasis, or applicable mesenteric nodal mass definition by edition（區域淋巴結轉移；依版本可含腸繫膜淋巴結團塊定義）",,checked_v0_7
NET - jejunum / ileum,AJCC8,any,N,N2,Large mesenteric mass and/or extensive nodal deposits by AJCC8 NET criteria（AJCC8 NET 定義之大型腸繫膜團塊及/或廣泛節點沉積）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,T,T1,Tumor invades lamina propria or submucosa and is ≤1 cm（侵犯固有層或黏膜下層且 ≤1 cm）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,T,T2,Tumor invades muscularis propria or >1 cm（侵犯固有肌層或 >1 cm）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,T,T3,Tumor invades subserosa without serosal penetration（侵犯漿膜下層，未穿透漿膜）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,T,T4,Tumor invades visceral peritoneum/serosa or adjacent organs/structures（侵犯臟層腹膜/漿膜或鄰近構造）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - jejunum / ileum,AJCC8,any,T,Tis,In situ / dysplasia category when available（原位/異生分類，若適用）,,checked_v0_7
NET - pancreas,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - pancreas,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - pancreas,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - pancreas,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
NET - pancreas,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - pancreas,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - pancreas,AJCC7,any,T,T1,"Tumor limited to pancreas, ≤2 cm（限於胰臟且 ≤2 cm）",,checked_v0_7
NET - pancreas,AJCC7,any,T,T2,"Tumor limited to pancreas, >2 cm（限於胰臟且 >2 cm）",,checked_v0_7
NET - pancreas,AJCC7,any,T,T3,Tumor extends beyond pancreas without celiac axis/SMA involvement（超出胰臟但未侵犯腹腔幹/SMA）,,checked_v0_7
NET - pancreas,AJCC7,any,T,T4,Tumor involves celiac axis or superior mesenteric artery（侵犯腹腔幹或上腸繫膜動脈）,,checked_v0_7
NET - pancreas,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - pancreas,AJCC7,any,T,Tis,Carcinoma in situ category when applicable（原位病變，若適用）,,checked_v0_7
NET - pancreas,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - pancreas,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - pancreas,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - pancreas,AJCC8,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
NET - pancreas,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - pancreas,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - pancreas,AJCC8,any,T,T1,"Tumor limited to pancreas, <2 cm（限於胰臟且 <2 cm）",,checked_v0_7
NET - pancreas,AJCC8,any,T,T2,Tumor 2–4 cm or invading duodenum/bile duct by site-specific criteria（2–4 cm 或依部位定義侵犯十二指腸/膽管）,,checked_v0_7
NET - pancreas,AJCC8,any,T,T3,Tumor >4 cm or invading duodenum or common bile duct（>4 cm 或侵犯十二指腸/總膽管）,,checked_v0_7
NET - pancreas,AJCC8,any,T,T4,"Tumor involves celiac axis, superior mesenteric artery, and/or common hepatic artery（侵犯腹腔幹、上腸繫膜動脈及/或總肝動脈）",,checked_v0_7
NET - pancreas,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - pancreas,AJCC8,any,T,Tis,"Carcinoma in situ / high-grade dysplasia, according to site-specific wording（原位癌／高度異生，依癌種定義）",,checked_v0_7
NET - stomach,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - stomach,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - stomach,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - stomach,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
NET - stomach,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - stomach,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - stomach,AJCC7,any,T,T1,Tumor invades lamina propria or submucosa and is small/limited by site-specific criteria（侵犯固有層或黏膜下層且符合該部位小型/侷限定義）,,checked_v0_7
NET - stomach,AJCC7,any,T,T2,Tumor invades muscularis propria or is larger by site-specific criteria（侵犯固有肌層或尺寸較大）,,checked_v0_7
NET - stomach,AJCC7,any,T,T3,Tumor invades subserosa（侵犯漿膜下層）,,checked_v0_7
NET - stomach,AJCC7,any,T,T4,Tumor invades visceral peritoneum/serosa or adjacent structures（侵犯臟層腹膜/漿膜或鄰近構造）,,checked_v0_7
NET - stomach,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - stomach,AJCC7,any,T,Tis,In situ / dysplasia category when available（原位/異生分類，若適用）,,checked_v0_7
NET - stomach,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
NET - stomach,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
NET - stomach,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
NET - stomach,AJCC8,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
NET - stomach,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
NET - stomach,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
NET - stomach,AJCC8,any,T,T1,Tumor invades lamina propria or submucosa and is small/limited by site-specific criteria（侵犯固有層或黏膜下層且符合該部位小型/侷限定義）,,checked_v0_7
NET - stomach,AJCC8,any,T,T2,Tumor invades muscularis propria or is larger by site-specific criteria（侵犯固有肌層或尺寸較大）,,checked_v0_7
NET - stomach,AJCC8,any,T,T3,Tumor invades subserosa（侵犯漿膜下層）,,checked_v0_7
NET - stomach,AJCC8,any,T,T4,Tumor invades visceral peritoneum/serosa or adjacent structures（侵犯臟層腹膜/漿膜或鄰近構造）,,checked_v0_7
NET - stomach,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
NET - stomach,AJCC8,any,T,Tis,In situ / dysplasia category when available（原位/異生分類，若適用）,,checked_v0_7
Perihilar bile duct,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Perihilar bile duct,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Perihilar bile duct,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Perihilar bile duct,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
Perihilar bile duct,AJCC7,any,N,N2,Distant nodal metastasis such as periaortic/pericaval/celiac/SMA nodes in AJCC7 grouping（AJCC7 中遠端淋巴結轉移，如主動脈旁/腔靜脈旁/腹腔/上腸繫膜動脈淋巴結）,,checked_v0_7
Perihilar bile duct,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Perihilar bile duct,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Perihilar bile duct,AJCC7,any,T,T1,Tumor confined to bile duct with extension up to muscle layer or fibrous tissue（限於膽管，侵犯至肌層或纖維組織）,,checked_v0_7
Perihilar bile duct,AJCC7,any,T,T2,Tumor invades beyond bile duct wall or adjacent hepatic parenchyma（侵犯膽管壁外或鄰近肝實質；依 T2a/T2b 細分）,,checked_v0_7
Perihilar bile duct,AJCC7,any,T,T2a,Tumor invades beyond bile duct wall to surrounding adipose tissue（侵犯膽管壁外至周圍脂肪組織）,,checked_v0_7
Perihilar bile duct,AJCC7,any,T,T2b,Tumor invades adjacent hepatic parenchyma（侵犯鄰近肝實質）,,checked_v0_7
Perihilar bile duct,AJCC7,any,T,T3,Tumor invades unilateral branches of portal vein or hepatic artery（侵犯單側門靜脈或肝動脈分支）,,checked_v0_7
Perihilar bile duct,AJCC7,any,T,T4,"Tumor invades main portal vein or its branches bilaterally, common hepatic artery, bilateral second-order ducts, or unilateral second-order ducts with contralateral vascular involvement（侵犯主門靜脈/雙側分支、總肝動脈、雙側二級膽管或單側二級膽管合併對側血管侵犯）",,checked_v0_7
Perihilar bile duct,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Perihilar bile duct,AJCC7,any,T,Tis,Carcinoma in situ / high-grade dysplasia（原位癌／高度異生）,,checked_v0_7
Perihilar bile duct,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Perihilar bile duct,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Perihilar bile duct,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Perihilar bile duct,AJCC8,any,N,N1,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）,,checked_v0_7
Perihilar bile duct,AJCC8,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Perihilar bile duct,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Perihilar bile duct,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Perihilar bile duct,AJCC8,any,T,T1,Tumor confined to bile duct with extension up to muscle layer or fibrous tissue（限於膽管，侵犯至肌層或纖維組織）,,checked_v0_7
Perihilar bile duct,AJCC8,any,T,T2,Tumor invades beyond bile duct wall or adjacent hepatic parenchyma（侵犯膽管壁外或鄰近肝實質；依 T2a/T2b 細分）,,checked_v0_7
Perihilar bile duct,AJCC8,any,T,T2a,Tumor invades beyond bile duct wall to surrounding adipose tissue（侵犯膽管壁外至周圍脂肪組織）,,checked_v0_7
Perihilar bile duct,AJCC8,any,T,T2b,Tumor invades adjacent hepatic parenchyma（侵犯鄰近肝實質）,,checked_v0_7
Perihilar bile duct,AJCC8,any,T,T3,Tumor invades unilateral branches of portal vein or hepatic artery（侵犯單側門靜脈或肝動脈分支）,,checked_v0_7
Perihilar bile duct,AJCC8,any,T,T4,"Tumor invades main portal vein or its branches bilaterally, common hepatic artery, bilateral second-order ducts, or unilateral second-order ducts with contralateral vascular involvement（侵犯主門靜脈/雙側分支、總肝動脈、雙側二級膽管或單側二級膽管合併對側血管侵犯）",,checked_v0_7
Perihilar bile duct,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Perihilar bile duct,AJCC8,any,T,Tis,Carcinoma in situ / high-grade dysplasia（原位癌／高度異生）,,checked_v0_7
Rectum,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Rectum,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Rectum,AJCC7,any,M,M1a,Metastasis confined to one distant organ or site（單一遠端器官/部位轉移）,,checked_v0_7
Rectum,AJCC7,any,M,M1b,Metastases in more than one distant organ/site or the peritoneum（多個遠端器官/部位或腹膜轉移）,,checked_v0_7
Rectum,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC7,any,N,N1,Metastasis in 1–3 regional lymph nodes or applicable N1 subcategory（1–3 顆區域淋巴結轉移，或符合 N1 子類別）,,checked_v0_7
Rectum,AJCC7,any,N,N1a,Metastasis in 1 regional lymph node（1 顆區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC7,any,N,N1b,Metastasis in 2–3 regional lymph nodes（2–3 顆區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC7,any,N,N1c,Tumor deposit(s) without positive regional lymph nodes（無陽性區域淋巴結但有 tumor deposits）,,checked_v0_7
Rectum,AJCC7,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC7,any,N,N2a,Metastasis in 4–6 regional lymph nodes（4–6 顆區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC7,any,N,N2b,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Rectum,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Rectum,AJCC7,any,T,T1,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Rectum,AJCC7,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Rectum,AJCC7,any,T,T3,Tumor invades through muscularis propria into pericolorectal tissues（穿越固有肌層至結腸/直腸周圍組織）,,checked_v0_7
Rectum,AJCC7,any,T,T4a,Tumor penetrates to the surface of the visceral peritoneum（穿透至臟層腹膜表面）,,checked_v0_7
Rectum,AJCC7,any,T,T4b,Tumor directly invades or adheres to other organs or structures（直接侵犯或沾黏其他器官/構造）,,checked_v0_7
Rectum,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Rectum,AJCC7,any,T,Tis,Carcinoma in situ: intraepithelial or invasion of lamina propria（原位癌；上皮內或侵犯固有層）,,checked_v0_7
Rectum,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Rectum,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Rectum,AJCC8,any,M,M1a,Metastasis to one distant organ/site without peritoneal metastasis（單一遠端器官/部位且無腹膜轉移）,,checked_v0_7
Rectum,AJCC8,any,M,M1b,Metastases to two or more distant organs/sites without peritoneal metastasis（兩個以上遠端器官/部位且無腹膜轉移）,,checked_v0_7
Rectum,AJCC8,any,M,M1c,"Metastasis to the peritoneal surface, with or without other organ/site metastases（有腹膜表面轉移，可合併其他遠端轉移）",,checked_v0_7
Rectum,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC8,any,N,N1,Metastasis in 1–3 regional lymph nodes or applicable N1 subcategory（1–3 顆區域淋巴結轉移，或符合 N1 子類別）,,checked_v0_7
Rectum,AJCC8,any,N,N1a,Metastasis in 1 regional lymph node（1 顆區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC8,any,N,N1b,Metastasis in 2–3 regional lymph nodes（2–3 顆區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC8,any,N,N1c,Tumor deposit(s) without positive regional lymph nodes（無陽性區域淋巴結但有 tumor deposits）,,checked_v0_7
Rectum,AJCC8,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC8,any,N,N2a,Metastasis in 4–6 regional lymph nodes（4–6 顆區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC8,any,N,N2b,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）,,checked_v0_7
Rectum,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Rectum,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Rectum,AJCC8,any,T,T1,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Rectum,AJCC8,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Rectum,AJCC8,any,T,T3,Tumor invades through muscularis propria into pericolorectal tissues（穿越固有肌層至結腸/直腸周圍組織）,,checked_v0_7
Rectum,AJCC8,any,T,T4a,Tumor penetrates to the surface of the visceral peritoneum（穿透至臟層腹膜表面）,,checked_v0_7
Rectum,AJCC8,any,T,T4b,Tumor directly invades or adheres to other organs or structures（直接侵犯或沾黏其他器官/構造）,,checked_v0_7
Rectum,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Rectum,AJCC8,any,T,Tis,Carcinoma in situ: intraepithelial or invasion of lamina propria（原位癌；上皮內或侵犯固有層）,,checked_v0_7
Small intestine,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Small intestine,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Small intestine,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Small intestine,AJCC7,any,N,N1,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）,,checked_v0_7
Small intestine,AJCC7,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Small intestine,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Small intestine,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Small intestine,AJCC7,any,T,T1,Tumor invades lamina propria or submucosa（侵犯固有層或黏膜下層）,,checked_v0_7
Small intestine,AJCC7,any,T,T1a,Tumor invades lamina propria（侵犯固有層）,,checked_v0_7
Small intestine,AJCC7,any,T,T1b,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Small intestine,AJCC7,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Small intestine,AJCC7,any,T,T3,Tumor invades through muscularis propria into subserosa or nonperitonealized perimuscular tissue without serosal penetration（穿越肌層至漿膜下/非腹膜化周圍組織，未穿透漿膜）,,checked_v0_7
Small intestine,AJCC7,any,T,T4,Tumor perforates visceral peritoneum or directly invades other organs/structures（穿透臟層腹膜或直接侵犯其他器官/構造）,,checked_v0_7
Small intestine,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Small intestine,AJCC7,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
Small intestine,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Small intestine,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Small intestine,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Small intestine,AJCC8,any,N,N1,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）,,checked_v0_7
Small intestine,AJCC8,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Small intestine,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Small intestine,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Small intestine,AJCC8,any,T,T1,Tumor invades lamina propria or submucosa（侵犯固有層或黏膜下層）,,checked_v0_7
Small intestine,AJCC8,any,T,T1a,Tumor invades lamina propria（侵犯固有層）,,checked_v0_7
Small intestine,AJCC8,any,T,T1b,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Small intestine,AJCC8,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Small intestine,AJCC8,any,T,T3,Tumor invades through muscularis propria into subserosa or nonperitonealized perimuscular tissue without serosal penetration（穿越肌層至漿膜下/非腹膜化周圍組織，未穿透漿膜）,,checked_v0_7
Small intestine,AJCC8,any,T,T4,Tumor perforates visceral peritoneum or directly invades other organs/structures（穿透臟層腹膜或直接侵犯其他器官/構造）,,checked_v0_7
Small intestine,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Small intestine,AJCC8,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
Stomach,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Stomach,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Stomach,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC7,any,N,N1,Metastasis in 1–2 regional lymph nodes（1–2 顆區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC7,any,N,N2,Metastasis in 3–6 regional lymph nodes（3–6 顆區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC7,any,N,N3,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC7,any,N,N3a,Metastasis in 7–15 regional lymph nodes（7–15 顆區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC7,any,N,N3b,Metastasis in 16 or more regional lymph nodes（≥16 顆區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Stomach,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Stomach,AJCC7,any,T,T1,"Tumor invades lamina propria, muscularis mucosae, or submucosa（侵犯固有層、黏膜肌層或黏膜下層）",,checked_v0_7
Stomach,AJCC7,any,T,T1a,Tumor invades lamina propria or muscularis mucosae（侵犯固有層或黏膜肌層）,,checked_v0_7
Stomach,AJCC7,any,T,T1b,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Stomach,AJCC7,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Stomach,AJCC7,any,T,T3,Tumor penetrates subserosal connective tissue without invasion of visceral peritoneum or adjacent structures（侵犯漿膜下結締組織，未侵犯臟層腹膜或鄰近構造）,,checked_v0_7
Stomach,AJCC7,any,T,T4,Tumor invades serosa/visceral peritoneum or adjacent structures（侵犯漿膜/臟層腹膜或鄰近構造）,,checked_v0_7
Stomach,AJCC7,any,T,T4a,Tumor invades serosa / visceral peritoneum（侵犯漿膜／臟層腹膜）,,checked_v0_7
Stomach,AJCC7,any,T,T4b,Tumor invades adjacent structures（侵犯鄰近構造）,,checked_v0_7
Stomach,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Stomach,AJCC7,any,T,Tis,Carcinoma in situ: intraepithelial tumor without invasion of lamina propria（原位癌；未侵犯固有層）,,checked_v0_7
Stomach,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Stomach,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Stomach,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC8,any,N,N1,Metastasis in 1–2 regional lymph nodes（1–2 顆區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC8,any,N,N2,Metastasis in 3–6 regional lymph nodes（3–6 顆區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC8,any,N,N3,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC8,any,N,N3a,Metastasis in 7–15 regional lymph nodes（7–15 顆區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC8,any,N,N3b,Metastasis in 16 or more regional lymph nodes（≥16 顆區域淋巴結轉移）,,checked_v0_7
Stomach,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Stomach,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Stomach,AJCC8,any,T,T1,"Tumor invades lamina propria, muscularis mucosae, or submucosa（侵犯固有層、黏膜肌層或黏膜下層）",,checked_v0_7
Stomach,AJCC8,any,T,T1a,Tumor invades lamina propria or muscularis mucosae（侵犯固有層或黏膜肌層）,,checked_v0_7
Stomach,AJCC8,any,T,T1b,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Stomach,AJCC8,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Stomach,AJCC8,any,T,T3,Tumor penetrates subserosal connective tissue without invasion of visceral peritoneum or adjacent structures（侵犯漿膜下結締組織，未侵犯臟層腹膜或鄰近構造）,,checked_v0_7
Stomach,AJCC8,any,T,T4,Tumor invades serosa/visceral peritoneum or adjacent structures（侵犯漿膜/臟層腹膜或鄰近構造）,,checked_v0_7
Stomach,AJCC8,any,T,T4a,Tumor invades serosa / visceral peritoneum（侵犯漿膜／臟層腹膜）,,checked_v0_7
Stomach,AJCC8,any,T,T4b,Tumor invades adjacent structures（侵犯鄰近構造）,,checked_v0_7
Stomach,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
